spqo,present_cnt,absent_cnt
"('anatomical entity', 'related to', 'n/a', 'biological process')",2,0
"('anatomical entity', 'related to', 'n/a', 'clinical attribute')",8,0
"('anatomical entity', 'related to', 'n/a', 'disease or phenotypic feature')",730,0
"('anatomical entity', 'related to', 'n/a', 'information content entity')",23,0
"('anatomical entity', 'related to', 'n/a', 'phenomenon')",3,0
"('anatomical entity', 'related to', 'n/a', 'population of individual organisms')",5,0
"('anatomical entity', 'related to', 'n/a', 'procedure')",4,0
"('anatomical entity', 'treats or applied or studied to treat', 'n/a', 'disease or phenotypic feature')",2,0
"('behavior', 'affects', 'n/a', 'activity')",8,0
"('behavior', 'affects', 'n/a', 'anatomical entity')",3,0
"('behavior', 'affects', 'n/a', 'behavior')",471,0
"('behavior', 'affects', 'n/a', 'biological process')",340,0
"('behavior', 'affects', 'n/a', 'clinical attribute')",2,0
"('behavior', 'affects', 'n/a', 'cohort')",1,0
"('behavior', 'affects', 'n/a', 'disease or phenotypic feature')",62,0
"('behavior', 'affects', 'n/a', 'information content entity')",34,0
"('behavior', 'affects', 'n/a', 'organism taxon')",9,0
"('behavior', 'affects', 'n/a', 'phenomenon')",9,0
"('behavior', 'affects', 'n/a', 'population of individual organisms')",1,0
"('behavior', 'affects', 'n/a', 'procedure')",1,0
"('behavior', 'coexists with', 'n/a', 'activity')",1,0
"('behavior', 'coexists with', 'n/a', 'biological process')",27,0
"('behavior', 'coexists with', 'n/a', 'clinical attribute')",1,0
"('behavior', 'coexists with', 'n/a', 'disease or phenotypic feature')",47,0
"('behavior', 'has input', 'n/a', 'chemical entity')",16,0
"('behavior', 'has input', 'n/a', 'gene or gene product')",1,0
"('behavior', 'located in', 'n/a', 'anatomical entity')",6,0
"('behavior', 'located in', 'n/a', 'chemical entity')",1,0
"('behavior', 'located in', 'n/a', 'gross anatomical structure')",19,0
"('behavior', 'manifestation of', 'n/a', 'disease or phenotypic feature')",7,0
"('behavior', 'occurs in', 'n/a', 'agent')",9,0
"('behavior', 'occurs in', 'n/a', 'cohort')",486,0
"('behavior', 'occurs in', 'n/a', 'disease or phenotypic feature')",34,0
"('behavior', 'occurs in', 'n/a', 'gross anatomical structure')",54,0
"('behavior', 'occurs in', 'n/a', 'human')",2,0
"('behavior', 'occurs in', 'n/a', 'information content entity')",4,0
"('behavior', 'occurs in', 'n/a', 'population of individual organisms')",462,0
"('behavior', 'precedes', 'n/a', 'biological process')",4,0
"('behavior', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",684,0
"('behavior', 'predisposes to condition', 'n/a', 'information content entity')",1,0
"('behavior', 'related to', 'n/a', 'disease or phenotypic feature')",11,0
"('behavior', 'treats or applied or studied to treat', 'n/a', 'cohort')",7,0
"('behavior', 'treats or applied or studied to treat', 'n/a', 'disease or phenotypic feature')",86,0
"('behavior', 'treats or applied or studied to treat', 'n/a', 'gross anatomical structure')",1,0
"('behavior', 'treats or applied or studied to treat', 'n/a', 'organism taxon')",1,0
"('behavior', 'treats or applied or studied to treat', 'n/a', 'population of individual organisms')",3,0
"('biological entity', 'coexists with', 'n/a', 'biological entity')",5,0
"('biological entity', 'coexists with', 'n/a', 'disease or phenotypic feature')",90,0
"('biological entity', 'located in', 'n/a', 'anatomical entity')",78,0
"('biological entity', 'located in', 'n/a', 'cell')",154,0
"('biological entity', 'located in', 'n/a', 'cellular component')",18,0
"('biological entity', 'located in', 'n/a', 'disease or phenotypic feature')",32,0
"('biological entity', 'located in', 'n/a', 'gross anatomical structure')",210,0
"('biological entity', 'located in', 'n/a', 'organism taxon')",4,0
"('biological entity', 'located in', 'n/a', 'publication')",5,0
"('biological entity', 'occurs in', 'n/a', 'organism taxon')",10,0
"('biological entity', 'produces', 'n/a', 'anatomical entity')",1,0
"('biological entity', 'produces', 'n/a', 'chemical entity')",7,0
"('biological entity', 'produces', 'n/a', 'gene or gene product')",32,0
"('biological process', 'affects', 'n/a', 'activity')",55,0
"('biological process', 'affects', 'n/a', 'agent')",2,0
"('biological process', 'affects', 'n/a', 'anatomical entity')",49,0
"('biological process', 'affects', 'n/a', 'behavior')",20,0
"('biological process', 'affects', 'n/a', 'biological entity')",20,0
"('biological process', 'affects', 'n/a', 'biological process')",6413,0
"('biological process', 'affects', 'n/a', 'cell')",868,0
"('biological process', 'affects', 'n/a', 'cellular component')",8,0
"('biological process', 'affects', 'n/a', 'chemical entity')",318,0
"('biological process', 'affects', 'n/a', 'clinical attribute')",99,0
"('biological process', 'affects', 'n/a', 'cohort')",184,0
"('biological process', 'affects', 'n/a', 'disease or phenotypic feature')",6045,0
"('biological process', 'affects', 'n/a', 'gene or gene product')",1100,0
"('biological process', 'affects', 'n/a', 'genomic entity')",2,0
"('biological process', 'affects', 'n/a', 'gross anatomical structure')",160,0
"('biological process', 'affects', 'n/a', 'human')",6,0
"('biological process', 'affects', 'n/a', 'information content entity')",193,0
"('biological process', 'affects', 'n/a', 'molecular activity')",136,0
"('biological process', 'affects', 'n/a', 'organism taxon')",422,0
"('biological process', 'affects', 'n/a', 'phenomenon')",610,0
"('biological process', 'affects', 'n/a', 'physiological process')",2,0
"('biological process', 'affects', 'n/a', 'polypeptide')",37,0
"('biological process', 'affects', 'n/a', 'population of individual organisms')",102,0
"('biological process', 'affects', 'n/a', 'procedure')",17,0
"('biological process', 'affects', 'n/a', 'publication')",4,0
"('biological process', 'causes', 'n/a', 'activity')",1,0
"('biological process', 'causes', 'n/a', 'biological process')",706,0
"('biological process', 'causes', 'n/a', 'disease or phenotypic feature')",23,0
"('biological process', 'causes', 'n/a', 'molecular activity')",107,0
"('biological process', 'causes', 'n/a', 'phenomenon')",5,0
"('biological process', 'coexists with', 'n/a', 'activity')",111,0
"('biological process', 'coexists with', 'n/a', 'anatomical entity')",59,0
"('biological process', 'coexists with', 'n/a', 'behavior')",48,0
"('biological process', 'coexists with', 'n/a', 'biological process')",9091,0
"('biological process', 'coexists with', 'n/a', 'chemical entity')",1,0
"('biological process', 'coexists with', 'n/a', 'clinical attribute')",39,0
"('biological process', 'coexists with', 'n/a', 'disease or phenotypic feature')",789,0
"('biological process', 'coexists with', 'n/a', 'information content entity')",119,0
"('biological process', 'coexists with', 'n/a', 'molecular activity')",183,0
"('biological process', 'coexists with', 'n/a', 'phenomenon')",172,0
"('biological process', 'coexists with', 'n/a', 'physiological process')",2,0
"('biological process', 'coexists with', 'n/a', 'procedure')",20,0
"('biological process', 'diagnoses', 'n/a', 'disease or phenotypic feature')",41,0
"('biological process', 'has input', 'n/a', 'chemical entity')",3,0
"('biological process', 'has input', 'n/a', 'device')",1,0
"('biological process', 'located in', 'n/a', 'anatomical entity')",962,0
"('biological process', 'located in', 'n/a', 'cell')",6112,0
"('biological process', 'located in', 'n/a', 'cellular component')",539,0
"('biological process', 'located in', 'n/a', 'chemical entity')",1,0
"('biological process', 'located in', 'n/a', 'cohort')",1,0
"('biological process', 'located in', 'n/a', 'disease or phenotypic feature')",2,0
"('biological process', 'located in', 'n/a', 'gene or gene product')",1,0
"('biological process', 'located in', 'n/a', 'gross anatomical structure')",1573,0
"('biological process', 'located in', 'n/a', 'information content entity')",1,0
"('biological process', 'located in', 'n/a', 'organism taxon')",31,0
"('biological process', 'located in', 'n/a', 'polypeptide')",1,0
"('biological process', 'manifestation of', 'n/a', 'information content entity')",1,0
"('biological process', 'occurs in', 'n/a', 'agent')",9,0
"('biological process', 'occurs in', 'n/a', 'anatomical entity')",643,0
"('biological process', 'occurs in', 'n/a', 'biological entity')",310,0
"('biological process', 'occurs in', 'n/a', 'biological process')",1,0
"('biological process', 'occurs in', 'n/a', 'cell')",887,0
"('biological process', 'occurs in', 'n/a', 'cellular component')",8,0
"('biological process', 'occurs in', 'n/a', 'chemical entity')",270,0
"('biological process', 'occurs in', 'n/a', 'cohort')",969,0
"('biological process', 'occurs in', 'n/a', 'disease or phenotypic feature')",1957,0
"('biological process', 'occurs in', 'n/a', 'gene or gene product')",9162,0
"('biological process', 'occurs in', 'n/a', 'genomic entity')",59,0
"('biological process', 'occurs in', 'n/a', 'gross anatomical structure')",1674,0
"('biological process', 'occurs in', 'n/a', 'human')",29,0
"('biological process', 'occurs in', 'n/a', 'information content entity')",12,0
"('biological process', 'occurs in', 'n/a', 'organism taxon')",2065,0
"('biological process', 'occurs in', 'n/a', 'population of individual organisms')",679,0
"('biological process', 'precedes', 'n/a', 'activity')",21,0
"('biological process', 'precedes', 'n/a', 'anatomical entity')",6,0
"('biological process', 'precedes', 'n/a', 'behavior')",3,0
"('biological process', 'precedes', 'n/a', 'biological process')",893,0
"('biological process', 'precedes', 'n/a', 'chemical entity')",1,0
"('biological process', 'precedes', 'n/a', 'clinical attribute')",12,0
"('biological process', 'precedes', 'n/a', 'disease or phenotypic feature')",33,0
"('biological process', 'precedes', 'n/a', 'information content entity')",14,0
"('biological process', 'precedes', 'n/a', 'molecular activity')",15,0
"('biological process', 'precedes', 'n/a', 'phenomenon')",7,0
"('biological process', 'precedes', 'n/a', 'procedure')",6,0
"('biological process', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",37,0
"('biological process', 'produces', 'n/a', 'anatomical entity')",59,0
"('biological process', 'produces', 'n/a', 'chemical entity')",626,0
"('biological process', 'produces', 'n/a', 'cohort')",14,0
"('biological process', 'produces', 'n/a', 'disease or phenotypic feature')",1,0
"('biological process', 'produces', 'n/a', 'gene or gene product')",935,0
"('biological process', 'produces', 'n/a', 'gross anatomical structure')",4,0
"('biological process', 'produces', 'n/a', 'polypeptide')",7,0
"('biological process', 'related to', 'n/a', 'activity')",4,0
"('biological process', 'related to', 'n/a', 'biological process')",580,0
"('biological process', 'related to', 'n/a', 'chemical entity')",560,0
"('biological process', 'related to', 'n/a', 'clinical attribute')",7,0
"('biological process', 'related to', 'n/a', 'disease or phenotypic feature')",4424,0
"('biological process', 'related to', 'n/a', 'gene or gene product')",68,0
"('biological process', 'related to', 'n/a', 'gross anatomical structure')",1,0
